Part Type,Part Number,Serial Number,Date,Process,Pass / Fail,Failure Type,Details,,,,,
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/26/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/26/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/26/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,1/26/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/2/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/4/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
